"","perc_varImp"
"lulc",0.194644101959315
"VV",0.141992298396145
"urban_dist",0.140566751218991
"canopyheight",0.127017792286993
"dgm",0.117734084239467
"phh2o",0.0707254664734877
"roads_dist",0.067737693245102
"soil_moist",0.0506799913443589
"sand",0.0453342932668773
"summerdays",0.0435675275692626
