"","perc_varImp"
"tcd",0.268344099581588
"phh2o",0.221018246292703
"silt",0.183563293745837
"lulc",0.139929904862142
"dgm",0.0921647104272889
"water_dist",0.0643488522710196
"sand",0.0306308928194202
