"","x"
"dgm",0.333848083908866
"tcd",0.323059762308718
"lulc",0.0950540078208926
"summerdays",0.0705401731407081
"phh2o",0.0460281746200916
"RVI",0.0286892332057208
"veryhvyprdays",0.0261561047675228
"CCI",0.0237232988663988
"VH",0.0197319440761682
"tree_spec",0.012694977617036
"ocs",0.00950475184269545
"icedays",0.00921798979196579
"tree_div",0.00535441296467805
"hvyprdays",0.000554586863689363
"forest_type",-0.000840708173205972
"stocked_forest",-0.00331679362194516
