"","perc_varImp"
"tcd",0.246329996879869
"phh2o",0.142847307153867
"lulc",0.140197909924571
"tree_spec",0.125427883128627
"cec",0.116678613931208
"silt",0.11489761792747
"STDEV",0.113620671054388
