"","lulc","pred"
"1","17",0.325337531151354
"2","24",0.559920605597895
"3","63",0.645414468167301
"4","4",0.559920605597895
"5","36",0.361239959106984
"6","44",0.559920605597895
"7","5",0.0509094802579906
"8","35",0.559920605597895
"9","27",0.559920605597895
"10","29",0.559920605597895
"11","16",0.676852281170738
"12","32",0.330004145836678
"13","28",0.575618199994038
"14","38",0.568782539109243
"15","14",0.640895395394426
"16","15",0.636632985261988
"17","58",0.767905620734252
"18","57",0.559920605597895
"19","62",0.559920605597895
"20","41",0.865859481324402
"21","45",0.559920605597895
"22","22",0.314560896307538
"23","6",0.559920605597895
"24","21",0.559920605597895
"25","37",0.044265841577766
"26","13",0.559920605597895
"27","8",0.536946942608378
"28","39",0.854237224001335
"29","11",0.559920605597895
"30","2",0.396167991738296
"31","55",0.559920605597895
"32","7",0.392933767232971
"33","12",0.870886257030972
"34","61",0.40942975948667
"35","20",0.559920605597895
"36","10",0.559920605597895
"37","9",0.559920605597895
"38","59",0.559920605597895
"39","3",0.559920605597895
"40","1",0.559920605597895
"41","42",0.917721771322299
"42","-1",0.559920605597895
"43","50",0.559920605597895
"44","60",0.559920605597895
"45","31",0.559920605597895
"46","56",0.713502378781747
"47","25",0.559920605597895
"48","26",0.559920605597895
"49","30",0.423577139007967
"50","33",0.559920605597895
"51","52",0.559920605597895
"52","19",0.559920605597895
"53","40",0.559920605597895
