"","lulc","pred"
"1","17",0.521669182807558
"2","44",0.547302122674921
"3","4",0.547302122674921
"4","24",0.646114859998044
"5","28",0.547302122674921
"6","15",0.554067757761164
"7","57",0.225437337772843
"8","32",0.287793314304494
"9","29",0.540937301025447
"10","6",0.609185274532217
"11","35",0.370792161498314
"12","63",0.611648066978511
"13","5",0.0382564703411032
"14","41",0.547302122674921
"15","38",0.766336119960869
"16","62",0.154041128118175
"17","11",0.323921169875149
"18","58",0.333423165024085
"19","36",0.125303778832635
"20","39",0.827000697042521
"21","16",0.707624663149267
"22","12",0.205925483005335
"23","7",0.212327779533852
"24","22",0.778036017976122
"25","3",0.547302122674921
"26","37",0.0846689625934227
"27","61",0.547302122674921
"28","8",0.547302122674921
"29","14",0.74828983710816
"30","-1",0.547302122674921
"31","55",0.547302122674921
"32","27",0.547302122674921
"33","2",0.217017937887762
"34","20",0.547302122674921
"35","10",0.547302122674921
"36","42",0.547302122674921
"37","1",0.547302122674921
"38","21",0.547302122674921
"39","56",0.422697804012564
"40","9",0.547302122674921
"41","13",0.547302122674921
"42","45",0.547302122674921
"43","59",0.547302122674921
"44","30",0.464892180412899
"45","33",0.547302122674921
"46","26",0.547302122674921
