"","lulc","pred"
"1","17",0.120264715719994
"2","44",0.545709685939772
"3","4",0.461719347946447
"4","24",0.545709685939772
"5","28",0.186617039332199
"6","15",0.549978501368309
"7","57",0.250570486898361
"8","32",0.501279845541533
"9","29",0.545709685939772
"10","6",0.145852526459023
"11","35",0.545709685939772
"12","63",0.77020146700393
"13","5",0.0605080580702189
"14","41",0.671998666566699
"15","38",0.656544713439466
"16","62",0.48155157089629
"17","11",0.545709685939772
"18","58",0.545709685939772
"19","36",0.0304066411082422
"20","39",0.545709685939772
"21","16",0.261603470756699
"22","12",0.545709685939772
"23","7",0.957702591868086
"24","22",0.0885927424331865
"25","3",0.545709685939772
"26","37",0.534292320603922
"27","61",0.342148423338329
"28","8",0.545709685939772
"29","14",0.268213693295157
"30","-1",0.545709685939772
"31","55",0.545709685939772
"32","27",0.545709685939772
"33","2",0.545709685939772
"34","20",0.545709685939772
"35","10",0.545709685939772
"36","42",0.545709685939772
"37","1",0.545709685939772
"38","21",0.545709685939772
"39","56",0.545709685939772
"40","9",0.545709685939772
"41","13",0.545709685939772
"42","45",0.545709685939772
"43","59",0.545709685939772
"44","30",0.545709685939772
"45","33",0.210562910298746
"46","26",0.661517151570386
