"","lulc","pred"
"1","24",0.506788158557437
"2","17",0.275098352092059
"3","63",0.560822244467356
"4","29",0.530319579404217
"5","4",0.530319579404217
"6","35",0.530319579404217
"7","36",0.530319579404217
"8","44",0.610781534925623
"9","5",0.52716663251714
"10","28",0.568282348074925
"11","27",0.782343285815827
"12","32",0.530319579404217
"13","16",0.530319579404217
"14","22",0.487198740458488
"15","38",0.664190955452507
"16","6",0.823226473362469
"17","14",0.635971382185255
"18","45",0.530319579404217
"19","15",0.47992386326058
"20","58",0.530319579404217
"21","57",0.209447209855484
"22","62",0.530319579404217
"23","41",0.641355603618621
"24","9",0.530319579404217
"25","12",0.924280903449277
"26","21",0.530319579404217
"27","2",0.530319579404217
"28","39",0.669500905947237
"29","37",0.461235447168686
"30","7",0.530319579404217
"31","13",0.530319579404217
"32","8",0.530319579404217
"33","11",0.483440476150994
"34","55",0.530319579404217
"35","20",0.530319579404217
"36","61",0.50222967646611
"37","10",0.530319579404217
"38","50",0.530319579404217
"39","1",0.530319579404217
"40","59",0.530319579404217
"41","3",0.530319579404217
"42","42",0.704026576797014
"43","-1",0.917287779326826
"44","25",0.530319579404217
"45","60",0.530319579404217
"46","31",0.530319579404217
"47","56",0.530319579404217
"48","33",0.530319579404217
"49","26",0.530319579404217
"50","30",0.662752335985483
"51","52",0.530319579404217
"52","19",0.530319579404217
"53","40",0.530319579404217
