"","lulc","pred"
"1","17",0.27754451718207
"2","24",0.487598350802046
"3","63",0.77855646335574
"4","4",0.581758452457297
"5","36",0.548327873518114
"6","44",0.548327873518114
"7","5",0.550714499120131
"8","35",0.511763892843094
"9","27",0.911333205192036
"10","29",0.56519801682209
"11","16",0.548327873518114
"12","32",0.455059455478134
"13","28",0.157612648227254
"14","38",0.631175793736011
"15","14",0.177365860459955
"16","15",0.548327873518114
"17","58",0.548327873518114
"18","57",0.548327873518114
"19","62",0.548327873518114
"20","41",0.567613064958831
"21","45",0.548327873518114
"22","22",0.0533577492807001
"23","6",0.557953988791223
"24","21",0.548327873518114
"25","37",0.535423331661515
"26","13",0.548327873518114
"27","8",0.717037751945136
"28","39",0.494728625762731
"29","11",0.156604041211713
"30","2",0.548327873518114
"31","55",0.548327873518114
"32","7",0.548327873518114
"33","12",0.548327873518114
"34","61",0.815261348636676
"35","20",0.548327873518114
"36","10",0.548327873518114
"37","9",0.548327873518114
"38","59",0.548327873518114
"39","3",0.548327873518114
"40","1",0.548327873518114
"41","42",0.548327873518114
"42","-1",0.548327873518114
"43","50",0.548327873518114
"44","60",0.548327873518114
"45","31",0.372010529989053
"46","56",0.548327873518114
"47","25",0.548327873518114
"48","26",0.263277605904445
"49","30",0.607156857064711
"50","33",0.548327873518114
"51","52",0.548327873518114
"52","19",0.548327873518114
"53","40",0.548327873518114
