"","lulc","pred"
"1","17",0.376090070364122
"2","44",0.421945340387415
"3","4",0.421945340387415
"4","24",0.483344018468275
"5","28",0.582595022299032
"6","15",0.537149948777211
"7","57",0.37587558642525
"8","32",0.421945340387415
"9","29",0.458960820267725
"10","6",0.421945340387415
"11","35",0.366680108700956
"12","63",0.421945340387415
"13","5",0.395929344980721
"14","41",0.781453459336957
"15","38",0.421945340387415
"16","62",0.421945340387415
"17","11",0.421945340387415
"18","58",0.421945340387415
"19","36",0.458136737689014
"20","39",0.681878085732711
"21","16",0.190167502031427
"22","12",0.421945340387415
"23","7",0.421945340387415
"24","22",0.146736229040489
"25","3",0.421945340387415
"26","37",0.421945340387415
"27","61",0.421945340387415
"28","8",0.421945340387415
"29","14",0.359224170718737
"30","-1",0.421945340387415
"31","55",0.421945340387415
"32","27",0.956488853626254
"33","2",0.421945340387415
"34","20",0.421945340387415
"35","10",0.421945340387415
"36","42",0.421945340387415
"37","1",0.421945340387415
"38","21",0.421945340387415
"39","56",0.655946223118765
"40","9",0.421945340387415
"41","13",0.421945340387415
"42","45",0.421945340387415
"43","59",0.421945340387415
"44","30",0.456279605507592
"45","33",0.182354533349333
"46","26",0.221987379590955
