"","lulc","pred"
"1","17",0.371703852221324
"2","24",0.507972127470005
"3","63",0.757982815465605
"4","4",0.454481890100024
"5","36",0.258265076054651
"6","44",0.527002147372537
"7","5",0.240739251046316
"8","35",0.527002147372537
"9","27",0.527002147372537
"10","29",0.578079450019211
"11","16",0.562026115314238
"12","32",0.461320771036152
"13","28",0.525976658865639
"14","38",0.571698584336733
"15","14",0.757457033283156
"16","15",0.567135440984685
"17","58",0.527002147372537
"18","57",0.529263768695911
"19","62",0.298784480584394
"20","41",0.608666637805499
"21","45",0.711499429495501
"22","22",0.513239635387607
"23","6",0.608493907852291
"24","21",0.527002147372537
"25","37",0.282592542162589
"26","13",0.527002147372537
"27","8",0.546720125754637
"28","39",0.571990357332473
"29","11",0.527002147372537
"30","2",0.527002147372537
"31","55",0.527002147372537
"32","7",0.527002147372537
"33","12",0.809755910983835
"34","61",0.661176241735957
"35","20",0.527002147372537
"36","10",0.527002147372537
"37","9",0.527002147372537
"38","59",0.527002147372537
"39","3",0.527002147372537
"40","1",0.527002147372537
"41","42",0.679718364793321
"42","-1",0.795335298781486
"43","50",0.527002147372537
"44","60",0.827848103564954
"45","31",0.527002147372537
"46","56",0.522024385680868
"47","25",0.527002147372537
"48","26",0.548043466015398
"49","30",0.410857806496574
"50","33",0.480761667457389
"51","52",0.527002147372537
"52","19",0.527002147372537
"53","40",0.527002147372537
