"","lulc","pred"
"1","24",0.552032746777949
"2","17",0.344598036259758
"3","63",0.839039878389578
"4","29",0.552184805469497
"5","4",0.657592482264207
"6","35",0.485954232856711
"7","36",0.309312413805169
"8","44",0.60669123339751
"9","5",0.449116813058247
"10","28",0.664034136627805
"11","27",0.60669123339751
"12","32",0.45126996209356
"13","16",0.742196710752029
"14","22",0.29262912362933
"15","38",0.650952104123662
"16","6",0.726325358127789
"17","14",0.772014520897924
"18","45",0.60669123339751
"19","15",0.721204085878693
"20","58",0.60669123339751
"21","57",0.60669123339751
"22","62",0.60669123339751
"23","41",0.60669123339751
"24","9",0.60669123339751
"25","12",0.60669123339751
"26","21",0.60669123339751
"27","2",0.549170250591162
"28","39",0.726849863830023
"29","37",0.181225927493287
"30","7",0.60669123339751
"31","13",0.60669123339751
"32","8",0.60669123339751
"33","11",0.60669123339751
"34","55",0.60669123339751
"35","20",0.60669123339751
"36","61",0.643743768656261
"37","10",0.60669123339751
"38","50",0.60669123339751
"39","1",0.60669123339751
"40","59",0.60669123339751
"41","3",0.60669123339751
"42","42",0.744268430817717
"43","-1",0.806649176201028
"44","25",0.60669123339751
"45","60",0.756983240810273
"46","31",0.60669123339751
"47","56",0.60669123339751
"48","33",0.60669123339751
"49","26",0.60669123339751
"50","30",0.552095107918895
"51","52",0.60669123339751
"52","19",0.60669123339751
"53","40",0.60669123339751
